Backend Table,Frontend Display Label,Recommended App Navigation
Work Categories,Work Categories,Work Categories
Scope Items,Scope Items,Scope Items
Delivery Methods,Delivery Methods,Delivery Methods
Cost Components,Cost Components,Cost Components
Scope Build Map,Scope Build Map,System Setup
Work Steps,Work Steps,Work Steps
Project Inputs,Project Inputs,Project Inputs
Input Options,Input Options,Project Inputs
Calculated Quantities,Calculated Quantities,Calculated Quantities
Extra Cost Triggers,Extra Cost Triggers,Extra Cost Triggers
Review Holds,Review Holds,Review Holds
Rate Library,Rate Library,Rate Library
Production Assumptions,Production Assumptions,Production Assumptions
Standard Items Library,Standard Items Library,Standard Items Library
Imported Rate Lines,Imported Rate Lines,Imported Rate Lines
Rate Mapping,Rate Mapping,Rate Mapping
