Delivery Method Code,Delivery Method Name,Scope Item Code,Trigger Type,Trigger Description,Default Method,Active,Notes
DM-PIT-STD,Standard pit install,SI-PIT-NEW,default,Base greenfield pit install,True,True,
DM-PIT-LRG,Large pit install,SI-PIT-NEW,derived rule,Pit weight > 800 kg,False,True,
DM-PIT-TIE,Brownfield tie-in,SI-PIT-TIE,default,Tie into existing route,True,True,
DM-PIT-REP,Brownfield full replacement,SI-PIT-REP,default,Remove and replace existing pit,True,True,
DM-FP-CONC-LD,Light duty,SI-FP-CONC,default,Thickness default path,True,True,
DM-FP-ASPH-LD,Light duty,SI-FP-ASPH,default,Thickness default path,True,True,
DM-FP-GRAV-LD,Light duty,SI-FP-GRAV,default,Thickness default path,True,True,
DM-DRV-CONC-LD,Light duty,SI-DRV-CONC,default,Thickness default path,True,True,
DM-DRV-ASPH-LD,Light duty,SI-DRV-ASPH,default,Thickness default path,True,True,
DM-DRV-GRAV-LD,Light duty,SI-DRV-GRAV,default,Thickness default path,True,True,
DM-HDS-CONC-LD,Light duty,SI-HDS-CONC,default,Thickness default path,True,True,
DM-HDS-CONC-HD,Heavy duty,SI-HDS-CONC,question answer,Thickness default path,False,True,
DM-HDS-ASPH-LD,Light duty,SI-HDS-ASPH,default,Thickness default path,True,True,
DM-HDS-ASPH-HD,Heavy duty,SI-HDS-ASPH,question answer,Thickness default path,False,True,
DM-HDS-GRAV-LD,Light duty,SI-HDS-GRAV,default,Thickness default path,True,True,
DM-HDS-GRAV-HD,Heavy duty,SI-HDS-GRAV,question answer,Thickness default path,False,True,
DM-PROV-NDD,NDD proving,SI-PROV-NDD,default,NDD proving,True,True,
DM-PROV-POT,Pothole proving,SI-PROV-POT,default,Pothole proving,True,True,
DM-PROV-SLOT,Slot trench proving,SI-PROV-SLOT,default,Slot trench proving,True,True,
DM-PROV-BREXP,Brownfield protected excavation,SI-PROV-BREXP,default,Brownfield protected excavation,True,True,
DM-PROV-PITINV,Brownfield protected excavation,SI-PROV-PITINV,default,Brownfield protected excavation,True,True,
DM-FOUND-SHELTER-STD,Standard foundation install,SI-FOUND-SHELTER,default,Base condition foundation path,True,True,
