Project Input Code,Project Input Text,Scope Item Code,Delivery Method Code,Answer Type,Unit,Required,Blocks Pricing if Missing,Conditional On Summary,Active
PI-PITNEW-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-PIT-NEW,DM-PIT-STD,yes/no,,True,True,none,True
PI-PITNEW-WAT,Is abnormal water present or likely?,SI-PIT-NEW,DM-PIT-STD,yes/no,,True,True,none,True
PI-PITNEW-W15,Does water exceed the 15 percent rule?,SI-PIT-NEW,DM-PIT-STD,yes/no,,False,True,if abnormal water present,True
PI-PITNEW-RIN,Is local reinstatement included now?,SI-PIT-NEW,DM-PIT-STD,yes/no,,True,False,none,True
PI-PITNEW-SURF,What is the local reinstatement surface type?,SI-PIT-NEW,DM-PIT-STD,choice,,True,True,none,True
PI-PITNEW-BRK,Is surface breakout required?,SI-PIT-NEW,DM-PIT-STD,yes/no,,True,True,none,True
PI-PITNEW-PIT,Which concrete pit type are you installing?,SI-PIT-NEW,DM-PIT-STD,lookup,,True,True,none,True
PI-PITNEW-ENT,How many conduit entries are required?,SI-PIT-NEW,DM-PIT-STD,whole number,count,True,True,none,True
PI-PITNEW-RIS,Is a riser required?,SI-PIT-NEW,DM-PIT-STD,yes/no,,True,False,none,True
PI-PITNEW-A2M,Are known or suspected assets within 2 metres of mechanical excavation?,SI-PIT-NEW,DM-PIT-LRG,yes/no,,True,True,none,True
PI-PITNEW-WAT,Is abnormal water present or likely?,SI-PIT-NEW,DM-PIT-LRG,yes/no,,True,True,none,True
PI-PITNEW-W15,Does water exceed the 15 percent rule?,SI-PIT-NEW,DM-PIT-LRG,yes/no,,False,True,if abnormal water present,True
PI-PITNEW-RIN,Is local reinstatement included now?,SI-PIT-NEW,DM-PIT-LRG,yes/no,,True,False,none,True
PI-PITNEW-SURF,What is the local reinstatement surface type?,SI-PIT-NEW,DM-PIT-LRG,choice,,True,True,none,True
PI-PITNEW-BRK,Is surface breakout required?,SI-PIT-NEW,DM-PIT-LRG,yes/no,,True,True,none,True
PI-PITNEW-PIT,Which concrete pit type are you installing?,SI-PIT-NEW,DM-PIT-LRG,lookup,,True,True,none,True
PI-PITNEW-ENT,How many conduit entries are required?,SI-PIT-NEW,DM-PIT-LRG,whole number,count,True,True,none,True
