Calculated Quantity Code,Calculated Quantity Name,Scope Item Code,Delivery Method Code,Quantity Type,Unit,Formula Summary,Depends On Summary,Active
CQ-PITNEW-01,Selected pit weight,SI-PIT-NEW,DM-PIT-STD,value,kg,lookup from standard items library,pit type,True
CQ-PITNEW-02,Excavation volume,SI-PIT-NEW,DM-PIT-STD,quantity,m3,pit footprint with install allowance x depth,pit type plus install rule,True
CQ-PITNEW-03,Bedding volume,SI-PIT-NEW,DM-PIT-STD,quantity,m3,pit footprint with bedding thickness,pit type,True
CQ-PITNEW-04,Backfill volume,SI-PIT-NEW,DM-PIT-STD,quantity,m3,excavation volume minus pit external volume minus bedding,pit type and install rule,True
CQ-PITNEW-05,Riser required flag,SI-PIT-NEW,DM-PIT-STD,flag,,direct from project input,riser required input,True
CQ-PITNEW-06,Proving required flag,SI-PIT-NEW,DM-PIT-STD,flag,,if assets within 2 m then yes,brownfield/proximity input,True
CQ-PITNEW-07,Water review flag,SI-PIT-NEW,DM-PIT-STD,flag,,if abnormal water and over 15 percent then review,water inputs,True
CQ-PITNEW-01,Selected pit weight,SI-PIT-NEW,DM-PIT-LRG,value,kg,lookup from standard items library,pit type,True
CQ-PITNEW-02,Excavation volume,SI-PIT-NEW,DM-PIT-LRG,quantity,m3,pit footprint with install allowance x depth,pit type plus install rule,True
CQ-PITNEW-03,Bedding volume,SI-PIT-NEW,DM-PIT-LRG,quantity,m3,pit footprint with bedding thickness,pit type,True
CQ-PITNEW-04,Backfill volume,SI-PIT-NEW,DM-PIT-LRG,quantity,m3,excavation volume minus pit external volume minus bedding,pit type and install rule,True
CQ-PITNEW-05,Riser required flag,SI-PIT-NEW,DM-PIT-LRG,flag,,direct from project input,riser required input,True
CQ-PITNEW-06,Proving required flag,SI-PIT-NEW,DM-PIT-LRG,flag,,if assets within 2 m then yes,brownfield/proximity input,True
CQ-PITNEW-07,Water review flag,SI-PIT-NEW,DM-PIT-LRG,flag,,if abnormal water and over 15 percent then review,water inputs,True
CQ-PITTIE-01,Selected pit weight,SI-PIT-TIE,DM-PIT-TIE,value,kg,lookup from standard items library,pit type,True
CQ-PITTIE-02,Excavation volume,SI-PIT-TIE,DM-PIT-TIE,quantity,m3,pit footprint with install allowance x depth,pit type plus install rule,True
CQ-PITTIE-03,Bedding volume,SI-PIT-TIE,DM-PIT-TIE,quantity,m3,pit footprint with bedding thickness,pit type,True
