Work Step Code,Work Step Name,Scope Item Code,Delivery Method Code,Cost Component Code,Work Step Sequence,Included by Default,Notes
WS-PIT-NEW-PRESTART-01__SI-PIT-NEW__DM-PIT-STD,Review drawings and records,SI-PIT-NEW,DM-PIT-STD,CC-PRESTART,10,Yes,
WS-PIT-NEW-PRESTART-02__SI-PIT-NEW__DM-PIT-STD,Confirm site constraints and controls,SI-PIT-NEW,DM-PIT-STD,CC-PRESTART,20,Yes,
WS-PIT-NEW-PRESTART-03__SI-PIT-NEW__DM-PIT-STD,Set out work location,SI-PIT-NEW,DM-PIT-STD,CC-PRESTART,30,Yes,
WS-PIT-NEW-BREAKOUT-01__SI-PIT-NEW__DM-PIT-STD,Break out existing surface,SI-PIT-NEW,DM-PIT-STD,CC-BREAKOUT,10,Conditional,
WS-PIT-NEW-BREAKOUT-02__SI-PIT-NEW__DM-PIT-STD,Remove breakout material,SI-PIT-NEW,DM-PIT-STD,CC-BREAKOUT,20,Conditional,
WS-PIT-NEW-EXC-01__SI-PIT-NEW__DM-PIT-STD,Excavate work area,SI-PIT-NEW,DM-PIT-STD,CC-EXC,10,Yes,
WS-PIT-NEW-EXC-02__SI-PIT-NEW__DM-PIT-STD,Trim formation / sidewalls / base,SI-PIT-NEW,DM-PIT-STD,CC-EXC,20,Yes,
WS-PIT-NEW-SPOIL-01__SI-PIT-NEW__DM-PIT-STD,Classify spoil,SI-PIT-NEW,DM-PIT-STD,CC-SPOIL,10,Yes,
WS-PIT-NEW-SPOIL-02__SI-PIT-NEW__DM-PIT-STD,Stockpile / haul / dispose spoil,SI-PIT-NEW,DM-PIT-STD,CC-SPOIL,20,Yes,
WS-PIT-NEW-BEDDING-01__SI-PIT-NEW__DM-PIT-STD,Place bedding / blinding / levelling layer,SI-PIT-NEW,DM-PIT-STD,CC-BEDDING,10,Yes,
WS-PIT-NEW-INSTALL-01__SI-PIT-NEW__DM-PIT-STD,Install main item,SI-PIT-NEW,DM-PIT-STD,CC-INSTALL,10,Yes,
WS-PIT-NEW-TIEIN-01__SI-PIT-NEW__DM-PIT-STD,Form tie-ins / penetrations / edges,SI-PIT-NEW,DM-PIT-STD,CC-TIEIN,10,Conditional,
WS-PIT-NEW-BFILL-01__SI-PIT-NEW__DM-PIT-STD,Backfill in lifts,SI-PIT-NEW,DM-PIT-STD,CC-BFILL,10,Yes,
WS-PIT-NEW-BFILL-02__SI-PIT-NEW__DM-PIT-STD,Compact backfill / placed material,SI-PIT-NEW,DM-PIT-STD,CC-BFILL,20,Yes,
WS-PIT-NEW-REINSTATE-01__SI-PIT-NEW__DM-PIT-STD,Reinstate local surface,SI-PIT-NEW,DM-PIT-STD,CC-REINSTATE,10,Yes,
WS-PIT-NEW-QA-01__SI-PIT-NEW__DM-PIT-STD,Capture QA records and as-builts,SI-PIT-NEW,DM-PIT-STD,CC-QA,10,Yes,
WS-PIT-NEW-QA-02__SI-PIT-NEW__DM-PIT-STD,Final inspection and closeout,SI-PIT-NEW,DM-PIT-STD,CC-QA,20,Yes,
WS-PIT-NEW-PRESTART-01__SI-PIT-NEW__DM-PIT-LRG,Review drawings and records,SI-PIT-NEW,DM-PIT-LRG,CC-PRESTART,10,Yes,
WS-PIT-NEW-PRESTART-02__SI-PIT-NEW__DM-PIT-LRG,Confirm site constraints and controls,SI-PIT-NEW,DM-PIT-LRG,CC-PRESTART,20,Yes,
