work_category,scope_item,delivery_method,cost_component,rate_group,cluster,unit_normalized,retained_rate,retained_workbook,retained_sheet,retained_row,mapping_confidence
Drainage and Minor Civil Structures,PVC Drainage Line Installation,rock,Pipe Install,Provisional Sums,100mm PVC drainage pipe up to 1.5m depth | rock,m,313.6842105263158,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,17,Confirmed
Drainage and Minor Civil Structures,PVC Drainage Line Installation,shale,Pipe Install,Provisional Sums,100mm PVC drainage pipe up to 1.5m depth | shale,m,236.8421052631579,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,16,Confirmed
Drainage and Minor Civil Structures,PVC Drainage Line Installation,soil,Pipe Install,Provisional Sums,100mm PVC drainage pipe up to 1.5m depth | soil,m,221.0526315789474,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,15,Confirmed
Drainage and Minor Civil Structures,Minor Civil Structure,unspecified,Minor Civils,Provisional Sums,100mm concrete paving,m2,328.421052631579,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,56,Confirmed
Drainage and Minor Civil Structures,Minor Civil Structure,unspecified,Minor Civils,Provisional Sums,100mm expansion joint,m,223.1578947368421,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,58,Confirmed
Drainage and Minor Civil Structures,PVC Drainage Line Installation,rock,Pipe Install,Provisional Sums,225mm PVC drainage pipe up to 1.5m depth | rock,m,328.421052631579,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,20,Confirmed
Drainage and Minor Civil Structures,PVC Drainage Line Installation,shale,Pipe Install,Provisional Sums,225mm PVC drainage pipe up to 1.5m depth | shale,m,252.6315789473684,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,19,Confirmed
Drainage and Minor Civil Structures,PVC Drainage Line Installation,soil,Pipe Install,Provisional Sums,225mm PVC drainage pipe up to 1.5m depth | soil,m,242.1052631578948,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,18,Confirmed
Drainage and Minor Civil Structures,Reinforced Concrete Drainage Line Installation,rock,Pipe Install,Provisional Sums,225mm reinforced concrete pipe up to 1.5m depth | rock,m,344.7368421052632,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,24,Confirmed
Drainage and Minor Civil Structures,Reinforced Concrete Drainage Line Installation,shale,Pipe Install,Provisional Sums,225mm reinforced concrete pipe up to 1.5m depth | shale,m,282.1052631578947,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,23,Confirmed
Drainage and Minor Civil Structures,Reinforced Concrete Drainage Line Installation,soil,Pipe Install,Provisional Sums,225mm reinforced concrete pipe up to 1.5m depth | soil,m,268.421052631579,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,21,Confirmed
Pits,Pit Works,,Pit Install / Supply,Materials,300x300 electrical pit supply,each,835,AARNet Pricebook.xlsx,AARnet Ratecard,33,Inferred
Pits,Pit Works,,Pit Install / Supply,Materials,450x450 electrical pit supply,each,1230,AARNet Pricebook.xlsx,AARnet Ratecard,28,Inferred
Drainage and Minor Civil Structures,Minor Civil Structure,unspecified,Minor Civils,Provisional Sums,75mm concrete paving,m2,326.3157894736842,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,38,Confirmed
Pavements and Hardstand,Pavement / Hardstand,,Surface Install,Provisional Sums,75mm hard standing,m2,379.4736842105264,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,40,Confirmed
Foundations and Support Civils,Foundation / Slab Works,,Foundation or Slab,Provisional Sums,Additional shelter pier volume per m3,m3,1214.350919896154,NBN quote Master .xlsx,Sheet1,41,Confirmed
Foundations and Support Civils,Foundation / Slab Works,,Foundation or Slab,Provisional Sums,Additional shelter slab volume per m3,m3,1078.793380623913,NBN quote Master .xlsx,Sheet1,39,Confirmed
Drainage and Minor Civil Structures,Drainage / Pipe Install,additional-in-existing-trench,Pipe Install,Provisional Sums,Additional underground pipe in existing trench >25mm,m,20,Annexure 3 - GWM Price Response Template - Decon 20240815.xlsx,1 SoRs,26,Confirmed
Pavements and Hardstand,Local Reinstatement,asphalt,Local Reinstatement,Provisional Sums,Asphalt reinstatement,m2,435.0877192982456,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,339,Confirmed
