Scope Item Code,Scope Item Name,Work Category Code,Pricing Unit,Scope Item Type,Active,Notes
SI-PIT-NEW,Concrete pit install in new location,WC-PIT,each,Production Object,True,Greenfield pit path
SI-PIT-TIE,Concrete pit install tied into existing route,WC-PIT,each,Production Object,True,Brownfield tie-in path
SI-PIT-REP,Existing concrete pit full replacement,WC-PIT,each,Production Object,True,Full brownfield replacement path
SI-FP-CONC,Concrete footpath install,WC-PAVE,m2,Production Object,True,
SI-FP-ASPH,Asphalt footpath install,WC-PAVE,m2,Production Object,True,
SI-FP-GRAV,Gravel / crushed rock footpath install,WC-PAVE,m2,Production Object,True,
SI-DRV-CONC,Concrete driveway install,WC-PAVE,m2,Production Object,True,
SI-DRV-ASPH,Asphalt driveway install,WC-PAVE,m2,Production Object,True,
SI-DRV-GRAV,Gravel / crushed rock driveway install,WC-PAVE,m2,Production Object,True,
SI-HDS-CONC,Concrete hardstand install,WC-PAVE,m2,Production Object,True,
SI-HDS-ASPH,Asphalt hardstand install,WC-PAVE,m2,Production Object,True,
SI-HDS-GRAV,Gravel / crushed rock hardstand install,WC-PAVE,m2,Production Object,True,
SI-PROV-NDD,Non-destructive digging setup and proving,WC-PROVE,item,Production Object,True,
SI-PROV-POT,Pothole / daylight service,WC-PROVE,each,Production Object,True,
SI-PROV-SLOT,Proving trench / slot trench,WC-PROVE,lm,Production Object,True,
SI-PROV-BREXP,Brownfield service exposure and protection,WC-PROVE,item,Production Object,True,
SI-PROV-PITINV,Existing pit exposure / investigation,WC-PROVE,each,Production Object,True,
SI-FOUND-SHELTER,CEV shelter pier,WC-FOUND,each,Production Object,True,
SI-FOUND-SOLAR,Solar pier,WC-FOUND,each,Production Object,True,
SI-FOUND-FENCE,Fence pier,WC-FOUND,each,Production Object,True,
SI-FOUND-GEN,Generator support pier,WC-FOUND,each,Production Object,True,
SI-FOUND-SLABPIER,Slab-associated pier,WC-FOUND,each,Production Object,True,
SI-SLAB-GEN,Generator slab,WC-SLAB,each,Production Object,True,
SI-SLAB-PLINTH,Equipment / grout plinth,WC-SLAB,each,Production Object,True,
SI-SLAB-STEP,Concrete steps,WC-SLAB,each,Production Object,True,
SI-SLAB-EDGE,Minor footing / edge beam,WC-SLAB,lm,Production Object,True,
SI-EW-LOCAL,Local / confined excavation,WC-EW,m3,Production Object,True,
