functional_cluster,work_category,scope_item,delivery_method,cost_component,unit_normalized,rate_group,candidate_count,candidate_sources,retained_workbook,retained_sheet,retained_row,retained_rate,decision_reason,mapping_confidence
100mm PVC drainage pipe up to 1.5m depth | rock,Drainage and Minor Civil Structures,PVC Drainage Line Installation,rock,Pipe Install,m,Provisional Sums,2,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r17 @ 313.6842105263158; Andersons Hill-NSWTA-Decon Costs Draft.xlsx::Variation Cost Schedule::r53 @ 97.545,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,17,313.6842105263158,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
100mm PVC drainage pipe up to 1.5m depth | shale,Drainage and Minor Civil Structures,PVC Drainage Line Installation,shale,Pipe Install,m,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r16 @ 236.84210526315792,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,16,236.8421052631579,single candidate,Confirmed
100mm PVC drainage pipe up to 1.5m depth | soil,Drainage and Minor Civil Structures,PVC Drainage Line Installation,soil,Pipe Install,m,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r15 @ 221.05263157894737,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,15,221.0526315789474,single candidate,Confirmed
100mm concrete paving,Drainage and Minor Civil Structures,Minor Civil Structure,unspecified,Minor Civils,m2,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r56 @ 328.42105263157896,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,56,328.421052631579,single candidate,Confirmed
100mm expansion joint,Drainage and Minor Civil Structures,Minor Civil Structure,unspecified,Minor Civils,m,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r58 @ 223.1578947368421,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,58,223.1578947368421,single candidate,Confirmed
225mm PVC drainage pipe up to 1.5m depth | rock,Drainage and Minor Civil Structures,PVC Drainage Line Installation,rock,Pipe Install,m,Provisional Sums,2,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r20 @ 328.42105263157896; Andersons Hill-NSWTA-Decon Costs Draft.xlsx::Variation Cost Schedule::r54 @ 153.055,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,20,328.421052631579,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
225mm PVC drainage pipe up to 1.5m depth | shale,Drainage and Minor Civil Structures,PVC Drainage Line Installation,shale,Pipe Install,m,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r19 @ 252.63157894736844,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,19,252.6315789473684,single candidate,Confirmed
225mm PVC drainage pipe up to 1.5m depth | soil,Drainage and Minor Civil Structures,PVC Drainage Line Installation,soil,Pipe Install,m,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r18 @ 242.1052631578948,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,18,242.1052631578948,single candidate,Confirmed
225mm reinforced concrete pipe up to 1.5m depth | rock,Drainage and Minor Civil Structures,Reinforced Concrete Drainage Line Installation,rock,Pipe Install,m,Provisional Sums,2,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r24 @ 344.7368421052632; Andersons Hill-NSWTA-Decon Costs Draft.xlsx::Variation Cost Schedule::r55 @ 195.23,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,24,344.7368421052632,"same function, normalized unit, same mapped delivery context; highest valid rate retained",Confirmed
225mm reinforced concrete pipe up to 1.5m depth | shale,Drainage and Minor Civil Structures,Reinforced Concrete Drainage Line Installation,shale,Pipe Install,m,Provisional Sums,1,VT_Rate Card_Generic for pricing Only.xlsx::Vic Track::r23 @ 282.10526315789474,VT_Rate Card_Generic for pricing Only.xlsx,Vic Track,23,282.1052631578947,single candidate,Confirmed
