Scope Item Code,Delivery Method Code,Cost Component Code,Sequence Number,Included by Default,Conditional Rule Summary,Active,Notes
SI-PIT-NEW,DM-PIT-STD,CC-PRESTART,10,Yes,none,True,
SI-PIT-NEW,DM-PIT-STD,CC-BREAKOUT,20,Conditional,if breakout required,True,
SI-PIT-NEW,DM-PIT-STD,CC-EXC,30,Yes,none,True,
SI-PIT-NEW,DM-PIT-STD,CC-SPOIL,40,Yes,none,True,
SI-PIT-NEW,DM-PIT-STD,CC-BEDDING,50,Yes,none,True,
SI-PIT-NEW,DM-PIT-STD,CC-INSTALL,60,Yes,none,True,
SI-PIT-NEW,DM-PIT-STD,CC-TIEIN,70,Conditional,if conduit entries or tie-ins required,True,
SI-PIT-NEW,DM-PIT-STD,CC-BFILL,80,Yes,none,True,
SI-PIT-NEW,DM-PIT-STD,CC-REINSTATE,90,Yes,if reinstatement included now,True,
SI-PIT-NEW,DM-PIT-STD,CC-QA,100,Yes,none,True,
SI-PIT-NEW,DM-PIT-LRG,CC-PRESTART,10,Yes,none,True,
SI-PIT-NEW,DM-PIT-LRG,CC-BREAKOUT,20,Conditional,if breakout required,True,
SI-PIT-NEW,DM-PIT-LRG,CC-EXC,30,Yes,none,True,
SI-PIT-NEW,DM-PIT-LRG,CC-SPOIL,40,Yes,none,True,
SI-PIT-NEW,DM-PIT-LRG,CC-BEDDING,50,Yes,none,True,
SI-PIT-NEW,DM-PIT-LRG,CC-INSTALL,60,Yes,none,True,large pit path
SI-PIT-NEW,DM-PIT-LRG,CC-OVERLAY,70,Conditional,Franna / lift support,True,
SI-PIT-NEW,DM-PIT-LRG,CC-TIEIN,80,Conditional,if conduit entries or tie-ins required,True,
SI-PIT-NEW,DM-PIT-LRG,CC-BFILL,90,Yes,none,True,
SI-PIT-NEW,DM-PIT-LRG,CC-REINSTATE,100,Yes,if reinstatement included now,True,
SI-PIT-NEW,DM-PIT-LRG,CC-QA,110,Yes,none,True,
SI-PIT-TIE,DM-PIT-TIE,CC-PRESTART,10,Yes,none,True,
SI-PIT-TIE,DM-PIT-TIE,CC-LOCATE,20,Yes,none,True,
SI-PIT-TIE,DM-PIT-TIE,CC-PROVE,30,Conditional,if assets within 2 m,True,
SI-PIT-TIE,DM-PIT-TIE,CC-PROTECT,40,Conditional,if exposed assets present,True,
SI-PIT-TIE,DM-PIT-TIE,CC-BREAKOUT,50,Conditional,if breakout required,True,
SI-PIT-TIE,DM-PIT-TIE,CC-EXC,60,Yes,none,True,
SI-PIT-TIE,DM-PIT-TIE,CC-SPOIL,70,Yes,none,True,
SI-PIT-TIE,DM-PIT-TIE,CC-BEDDING,80,Yes,none,True,
SI-PIT-TIE,DM-PIT-TIE,CC-INSTALL,90,Yes,none,True,
SI-PIT-TIE,DM-PIT-TIE,CC-TIEIN,100,Conditional,if conduit entries or tie-ins required,True,
SI-PIT-TIE,DM-PIT-TIE,CC-BFILL,110,Yes,none,True,
SI-PIT-TIE,DM-PIT-TIE,CC-MAKESAFE,120,Conditional,if staged brownfield make-safe required,True,
SI-PIT-TIE,DM-PIT-TIE,CC-REINSTATE,130,Yes,if reinstatement included now,True,
SI-PIT-TIE,DM-PIT-TIE,CC-QA,140,Yes,none,True,
SI-PIT-REP,DM-PIT-REP,CC-PRESTART,10,Yes,none,True,
SI-PIT-REP,DM-PIT-REP,CC-LOCATE,20,Yes,none,True,
SI-PIT-REP,DM-PIT-REP,CC-PROVE,30,Conditional,if assets within 2 m,True,
SI-PIT-REP,DM-PIT-REP,CC-PROTECT,40,Conditional,if exposed assets present,True,
SI-PIT-REP,DM-PIT-REP,CC-BREAKOUT,50,Conditional,if breakout required,True,
SI-PIT-REP,DM-PIT-REP,CC-EXC,60,Yes,none,True,
SI-PIT-REP,DM-PIT-REP,CC-SPOIL,70,Yes,none,True,
SI-PIT-REP,DM-PIT-REP,CC-BEDDING,80,Yes,none,True,
SI-PIT-REP,DM-PIT-REP,CC-INSTALL,90,Yes,none,True,
SI-PIT-REP,DM-PIT-REP,CC-TIEIN,100,Conditional,if conduit entries or tie-ins required,True,
SI-PIT-REP,DM-PIT-REP,CC-BFILL,110,Yes,none,True,
SI-PIT-REP,DM-PIT-REP,CC-MAKESAFE,120,Conditional,if staged brownfield make-safe required,True,
